,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
104,20200930T191547,0.0002548509007867907,CreekFire,19.61094936,"[15.0, 22.0)",0.0007548509007867907
105,20201003T195951,0.0004791156617416597,CreekFire,21.74779848,"[15.0, 22.0)",0.0009791156617416598
106,20201004T194043,0.0004813174187863725,CreekFire,22.626620365,"[22.0, 30.0)",0.0009813174187863725
107,20201005T192135,0.0004537767226764127,CreekFire,23.559222505,"[22.0, 30.0)",0.0009537767226764128
108,20201006T204356,0.000333229756669076,CreekFire,22.907537825,"[22.0, 30.0)",0.000833229756669076
109,20201007T202447,0.0003479636639235142,CreekFire,16.889869325,"[15.0, 22.0)",0.0008479636639235142
110,20201009T194631,6.784979570896736e-05,CreekFire,9.955854228499998,"[8.0, 15.0)",0.0005678497957089674
111,20201011T204943,0.0002250963258895188,CreekFire,11.210768245,"[8.0, 15.0)",0.0007250963258895189
112,20210707T201333,0.002176890306460966,LickCreek,30.33337125,"[30.0, 38.0)",0.002676890306460966
113,20210708T195430,0.001100452394552412,LickCreek,14.97708553,"[8.0, 15.0)",0.001600452394552412
114,20210709T193526,0.002141124507748042,LickCreek,13.799931950000001,"[8.0, 15.0)",0.002641124507748042
115,20210710T191622,0.001054641380596605,LickCreek,21.895984715,"[15.0, 22.0)",0.001554641380596605
116,20210711T185718,0.0009054516838110407,LickCreek,24.488137975,"[22.0, 30.0)",0.0014054516838110406
117,20210711T203848,0.0008275088238820668,LickCreek,24.488137975,"[22.0, 30.0)",0.0013275088238820668
118,20210712T201944,0.0007982544584359297,LickCreek,14.52726832,"[8.0, 15.0)",0.0012982544584359298
119,20210713T200040,0.00260311643764966,LickCreek,17.943209064999998,"[15.0, 22.0)",0.00310311643764966
120,20210714T194136,0.000450090256617491,LickCreek,17.05358405,"[15.0, 22.0)",0.0009500902566174909
121,20210715T192232,0.0001798602356107868,LickCreek,25.323437974999997,"[22.0, 30.0)",0.0006798602356107868
122,20210716T204457,0.0006112511164194092,LickCreek,15.929260635,"[15.0, 22.0)",0.0011112511164194092
123,20210716T190327,0.0003257943183632612,LickCreek,15.929260635,"[15.0, 22.0)",0.0008257943183632612
124,20210717T184423,2.313164338056247e-05,LickCreek,13.62299167,"[8.0, 15.0)",0.0005231316433805625
125,20210717T202552,0.000370586376518359,LickCreek,13.62299167,"[8.0, 15.0)",0.000870586376518359
126,20210718T200648,0.0006685703133956879,LickCreek,11.1273777,"[8.0, 15.0)",0.001168570313395688
127,20210721T190933,-1.465336377266993e-06,LickCreek,20.304003305000002,"[15.0, 22.0)",0.0004985346636227331
128,20210721T205103,8.911081957636846e-05,LickCreek,20.304003305000002,"[15.0, 22.0)",0.0005891108195763685
129,20210722T185029,0.0004730312808105961,LickCreek,18.860944165,"[15.0, 22.0)",0.0009730312808105961
130,20210723T201253,0.0006695546408134429,LickCreek,20.855633994999998,"[15.0, 22.0)",0.0011695546408134428
131,20210724T195348,0.0004443477092706163,LickCreek,15.976650505,"[15.0, 22.0)",0.0009443477092706163
132,20210725T193443,0.0002791959738512211,LickCreek,28.17812907,"[22.0, 30.0)",0.0007791959738512211
133,20210729T195951,0.0006500790940738692,LickCreek,25.883946685,"[22.0, 30.0)",0.0011500790940738692
134,20210730T194045,0.001744393610063014,LickCreek,22.102628675,"[22.0, 30.0)",0.002244393610063014
135,20200817T194541,0.0005589232971928981,Lionshead,23.208766645,"[22.0, 30.0)",0.0010589232971928981
136,20200818T192633,0.0006416032092677418,Lionshead,15.12444174,"[15.0, 22.0)",0.0011416032092677417
137,20200819T204855,0.001154521665257881,Lionshead,26.52647522,"[22.0, 30.0)",0.001654521665257881
138,20200820T202947,0.00154382691289153,Lionshead,18.53993779,"[15.0, 22.0)",0.00204382691289153
139,20200821T201039,0.002058407927697489,Lionshead,25.19861959,"[22.0, 30.0)",0.002558407927697489
