yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,55.0,42222.958969907406,47.903175,-116.292881,484.32,6103.0,65.43
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,56.0,42222.95898148148,47.903779,-116.295258,483.1,6123.0,65.69
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,57.0,42222.95899305555,47.904364,-116.297637,481.87,6142.0,64.48
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,58.0,42222.95900462963,47.904928,-116.300017,480.61,6162.0,64.32
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,59.0,42222.959016203706,47.905473,-116.302398,479.39,6182.0,64.03
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,0.0,42222.959027777775,47.905999,-116.304781,478.07,6202.0,63.9
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,1.0,42222.95903935185,47.906505,-116.307164,476.84,6221.0,64.34
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,2.0,42222.95905092593,47.906992,-116.309547,475.63,6240.0,63.85
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,3.0,42222.9590625,47.907463,-116.31193,474.46,6259.0,64.93
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,4.0,42222.95907407408,47.907917,-116.314312,473.29,6278.0,69.43
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,5.0,42222.95908564815,47.908353,-116.316692,472.1,6297.0,73.72
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,6.0,42222.95909722222,47.908772,-116.31907,470.9,6316.0,79.97
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,7.0,42222.9591087963,47.909172,-116.321445,469.68,6336.0,80.41
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,8.0,42222.95912037037,47.909555,-116.323819,468.48,6355.0,81.43
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,9.0,42222.959131944444,47.909924,-116.326189,467.29,6375.0,82.37
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,10.0,42222.95914351852,47.910282,-116.328555,466.1,6394.0,82.43
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,11.0,42222.95915509259,47.910635,-116.330915,464.87,6414.0,84.85
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,12.0,42222.95916666667,47.910983,-116.333269,463.68,6434.0,87.5
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,13.0,42222.95917824074,47.911323,-116.335618,462.52,6453.0,87.94
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,14.0,42222.959189814814,47.911655,-116.337961,461.26,6473.0,87.47
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,15.0,42222.95920138889,47.911979,-116.340299,460.06,6493.0,86.08
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,16.0,42222.95921296296,47.912296,-116.34263,458.88,6513.0,85.22
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,17.0,42222.95922453704,47.912607,-116.344955,457.65,6533.0,84.46
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,18.0,42222.95923611111,47.91291,-116.347274,456.44,6553.0,84.23
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,19.0,42222.95924768518,47.913206,-116.349587,455.19,6574.0,84.51
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,20.0,42222.95925925926,47.913499,-116.351894,453.97,6594.0,85.62
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,21.0,42222.95927083334,47.913793,-116.354193,452.76,6614.0,88.69
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,22.0,42222.959282407406,47.914095,-116.356483,451.51,6633.0,92.88
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,23.0,42222.95929398148,47.914408,-116.358765,450.29,6653.0,95.74
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,24.0,42222.95930555555,47.914737,-116.361036,449.17,6671.0,95.77
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,25.0,42222.95931712963,47.915081,-116.363298,448.07,6690.0,94.8
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,26.0,42222.959328703706,47.915439,-116.36555,447.01,6708.0,95.02
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,27.0,42222.959340277775,47.91581,-116.367791,445.88,6726.0,96.62
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,28.0,42222.95935185185,47.916193,-116.370023,444.79,6744.0,94.86
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,29.0,42222.95936342593,47.916584,-116.372246,443.7,6762.0,86.99
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,30.0,42222.959375,47.916981,-116.374461,442.63,6779.0,84.89
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,31.0,42222.95938657408,47.91738,-116.37667,441.59,6797.0,86.82
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,32.0,42222.95939814815,47.917779,-116.378874,440.56,6813.0,90.39
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,33.0,42222.95940972222,47.918173,-116.381077,439.57,6830.0,91.68
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,34.0,42222.9594212963,47.918561,-116.383276,438.62,6846.0,93.91
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,35.0,42222.95943287037,47.918941,-116.385475,437.69,6862.0,96.68
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,36.0,42222.959444444445,47.919307,-116.387671,436.77,6878.0,97.71
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,37.0,42222.95945601852,47.919657,-116.389868,435.86,6893.0,100.77
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,38.0,42222.95946759259,47.919986,-116.392066,434.94,6909.0,103.67
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,39.0,42222.95947916667,47.920292,-116.394264,434.03,6925.0,104.22
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,40.0,42222.95949074074,47.920572,-116.396463,433.13,6941.0,100.41
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,41.0,42222.959502314814,47.920824,-116.398662,432.17,6957.0,96.89
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,42.0,42222.95951388889,47.921045,-116.400863,431.26,6972.0,95.36
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,43.0,42222.95952546296,47.921236,-116.403064,430.36,6987.0,95.82
