yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,OA_PM1_AMS,Sulfate_PM1_AMS,Nitrate_PM1_AMS,Ammonium_PM1_AMS,BC_mass_90_550_nm,OA_PM1_AMS_ambient,Sulfate_PM1_AMS_ambient,Nitrate_PM1_AMS_ambient,Ammonium_PM1_AMS_ambient,BC_mass_90_550_nm_ambient
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,12.0,42218.9175,47.838556,-119.091541,431.86,6912.0,0.61752,0.61104,-0.002912,0.09246,1.57,0.28316071819816,0.2801893464953422,-0.0013352830862045,0.0423970721670583,0.7199156749111143
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,13.0,42218.91751157407,47.840053,-119.09312,432.95,6893.0,0.7059,0.69833,-0.000524,0.11371,6.2,0.3242229568280882,0.3207460227252569,-0.000240675491398,0.0522275002421333,2.8476871119622427
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,14.0,42218.91752314815,47.841589,-119.094632,434.11,6873.0,0.58109,0.88976,-0.02004,0.12986,1.49,0.2675070017197005,0.409604415581271,-0.0092254905685226,0.059781547167083,0.6859271929689958
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,15.0,42218.91753472222,47.843162,-119.096075,435.31,6853.0,0.45082,0.84732,0.00534,0.087132,0.0,0.208053108195946,0.3910375751665608,0.0024644061882044,0.0402113558034895,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,16.0,42218.917546296296,47.844773,-119.097448,436.53,6832.0,0.51059,1.00211,-0.019016,0.13524,0.0,0.2361116067380898,0.4634046930576534,-0.0087935492542578,0.0625388936235713,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,17.0,42218.91755787037,47.846417,-119.098753,437.75,6810.0,0.24322,0.63125,0.012996,0.094644,10.9,0.1127242923272374,0.2925631507753008,0.0060232090415458,0.0438643118288753,5.0517835143774725
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,18.0,42218.91756944444,47.848092,-119.099993,438.98,6789.0,-0.20698,0.34184,0.016808,0.059776,13.16,-0.0960959118013753,0.1587082157222057,0.0078035563124819,0.0277525810408687,6.1098763131998215
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,19.0,42218.91758101852,47.849795,-119.101172,440.22,6769.0,0.43632,0.33194,-0.00062,0.046016,3.36,0.2030576248927592,0.1544805372362085,-0.0002885398960247,0.0214152449281839,1.563700081682414
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,20.0,42218.9175925926,47.851521,-119.102294,441.49,6749.0,-0.009408,0.35333,0.000684,0.026392,2.98,-0.0043894422379422,0.1648513633006089,0.0003191303667891,0.0123135798834791,1.3903632939060215
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,21.0,42218.917604166665,47.853269,-119.103363,442.67,6729.0,0.024936,0.3283,0.033276,0.021268,0.0,0.0116575881310781,0.1534803570513697,0.0155565408505677,0.0099427969350244,0.0
