yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO_CL
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,52.0,42218.917962962965,47.910069,-119.127435,470.02,6277.0,0.01439
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,53.0,42218.91797453704,47.911925,-119.128158,471.06,6261.0,0.01719
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,54.0,42218.91798611111,47.91378,-119.128885,472.08,6244.0,0.0348
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,55.0,42218.91799768519,47.915636,-119.129617,473.07,6228.0,0.03339
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,56.0,42218.91800925926,47.91749,-119.130357,474.08,6212.0,0.02044
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,57.0,42218.918020833335,47.919343,-119.131104,475.07,6197.0,0.01324
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,58.0,42218.91803240741,47.921194,-119.131861,476.02,6182.0,0.022
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,59.0,42218.91804398148,47.923043,-119.132628,476.96,6168.0,0.02816
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,0.0,42218.91805555556,47.92489,-119.133405,477.87,6154.0,0.01641
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,1.0,42218.91806712963,47.926734,-119.134194,478.83,6140.0,0.00689
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,2.0,42218.9180787037,47.928575,-119.134992,479.71,6127.0,0.00925
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,3.0,42218.91809027778,47.930415,-119.135794,480.51,6115.0,0.01534
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,4.0,42218.91810185185,47.932253,-119.136596,481.27,6104.0,0.00862
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,5.0,42218.91811342593,47.934091,-119.137395,481.99,6092.0,0.01331
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,6.0,42218.918125,47.935928,-119.13819,482.65,6081.0,0.01074
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,7.0,42218.91813657407,47.937765,-119.138983,483.3,6070.0,0.00757
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,8.0,42218.91814814815,47.9396,-119.139772,483.96,6059.0,0.02094
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,9.0,42218.91815972222,47.941435,-119.140559,484.63,6048.0,0.01782
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,10.0,42218.918171296296,47.94327,-119.141341,485.33,6036.0,0.01891
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,11.0,42218.91818287037,47.945104,-119.14212,486.1,6025.0,0.01084
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,12.0,42218.91819444444,47.946938,-119.142895,486.83,6014.0,0.0015
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,13.0,42218.91820601852,47.948771,-119.143668,487.55,6003.0,0.01388
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,14.0,42218.9182175926,47.950603,-119.144438,488.26,5992.0,0.02137
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,15.0,42218.918229166666,47.952435,-119.145202,489.01,5981.0,0.00557
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,16.0,42218.91824074074,47.954268,-119.145961,489.75,5969.0,0.00263
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,17.0,42218.91825231481,47.9561,-119.146713,490.46,5959.0,0.02109
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,18.0,42218.91826388889,47.957932,-119.14746,491.15,5948.0,0.01832
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,19.0,42218.918275462966,47.959764,-119.148204,491.82,5936.0,0.00553
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,20.0,42218.91828703704,47.961595,-119.148943,492.5,5926.0,0.02505
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,21.0,42218.91829861111,47.963426,-119.149681,493.21,5915.0,0.00421
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,22.0,42218.91831018519,47.965255,-119.150416,493.93,5903.0,0.00897
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,23.0,42218.91832175926,47.967084,-119.151149,494.66,5891.0,0.00239
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,24.0,42218.918333333335,47.968911,-119.15188,495.38,5880.0,0.0121
20190803,2019-08-03,2019.0,8.0,3.0,22.0,2.0,25.0,42218.918344907404,47.970739,-119.152608,496.16,5868.0,0.02554
